Altium Designer Pick and Place Locations
C:\Users\s-fre\Github\ethGitlab\sensei-wulpus-shield\hw\wulpus_pro_acq_pcb_dev_board\Project Outputs for wulpus_pro_acq_pcb\Pick Place\Pick Place for wulpus_pro_acq(pzt_hia_no_bias).txt

========================================================================================================================
File Design Information:

Date:       27.05.26
Time:       13:31
Revision:   dac888c8aeea61f824c052da7adf19988fcd2d27
Variant:    pzt_hia_no_bias
Units used: mm

Designator Comment                   Layer       Footprint                       Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                 
Y2         ABS05-32.768KHZ-9-T       TopLayer    FP-ABS05-MFG                    -21.4400     5.2800       180      "CRYSTAL 32.7680KHZ 9PF SMD"                                                                                                                                
Y1         AWSCR-8.00CV-T            TopLayer    AWSCR-8.00CV-T_ABR              -15.8000     6.1000       0        "No Description Available"                                                                                                                                  
X2         FY0800018                 TopLayer    XTAL_ECS-80-18-30B-AGN-TR       -26.1000     7.8500       0        "Crystal 8MHz ±30ppm (Tol) ±30ppm (Stability) 18pF FUND 100Ohm 4-Pin SMD T/R"                                                                               
U18        SN74AVC4T774RSVR          BottomLayer QFN40P260X180X55-16N            -24.9250     -1.8750      0        "Voltage Level Translator Bidirectional 1 Circuit 4 Channel 380Mbps 16-UQFN _2.6x1.8_"                                                                      
U16        TPS22916CYFPR             BottomLayer BGA4C40P2X2_78X78X50            -17.8750     -5.2250      90       "TPS22916 5.5-V, 2-A Ultra-Low Leakage Load Switch"                                                                                                         
U15        LT3463EDD#PBF             BottomLayer LT-DD-10_V                      -8.6250      -5.0479      0        "Dual Micropower DC/DC Converters with Schottky Diodes, 2.4 to 15 V Vin, 10-pin SON (DD-10), -40 to 85 degC, Pb-Free"                                       
U13        MD0100                    BottomLayer AMP_PHA-1+                      1.3884       4.1500       90       ""                                                                                                                                                          
U12        TPS22916CYFPR             TopLayer    BGA4C40P2X2_78X78X50            -8.7000      0.4000       270      "TPS22916 5.5-V, 2-A Ultra-Low Leakage Load Switch"                                                                                                         
U10        OPA836IDBVT               TopLayer    DBV0006A_L                      -11.8500     3.6250       270      "Very Low Power, Rail to Rail Out, Negative Rail In, VFB Operational Amplifier, 2.5 to 5.5 V, -40 to 125 degC, 6-pin SOT23 (DBV6), Green (RoHS & no Sb/Br)" 
U9         IXDD604D2TR               TopLayer    SON95P500X400X100-9N            -9.4500      -5.0000      270      "Integrated Circuit"                                                                                                                                        
U8         TPS22916CYFPR             TopLayer    BGA4C40P2X2_78X78X50            -5.6750      3.8750       180      "TPS22916 5.5-V, 2-A Ultra-Low Leakage Load Switch"                                                                                                         
U7         TS5A3159AYZPR             BottomLayer BGA6C50P2X3_89X139X50           -11.2000     6.5750       270      "Analogue Switch ICs SPDT ANALOG SWITCH"                                                                                                                    
U6         TPS22916CYFPR             BottomLayer BGA4C40P2X2_78X78X50            -7.9500      8.5750       90       "TPS22916 5.5-V, 2-A Ultra-Low Leakage Load Switch"                                                                                                         
U5         LTC5507ES6#TRMPBF         BottomLayer FP-LTC5507ES6#TRMPBF-IPC_B      -16.1250     6.0000       270      "IC RF DETECT 100KHZ-1GHZ TSOT23"                                                                                                                           
U4         TS5A3159AYZPR             BottomLayer BGA6C50P2X3_89X139X50           -12.7250     8.4000       270      "Analogue Switch ICs SPDT ANALOG SWITCH"                                                                                                                    
U3         TPL0501-100RSER           TopLayer    TI-RSE8_V                       -7.5750      2.3250       270      "256-Tap, 100 k, Single Channel Potentiometer with SPI Interface, -40 to 125 degC, 8-pin QFN (RSE8), Green (RoHS & no Sb/Br)"                               
U2         OPA836IDBVT               BottomLayer DBV0006A_L                      -3.8000      3.7250       270      "Very Low Power, Rail to Rail Out, Negative Rail In, VFB Operational Amplifier, 2.5 to 5.5 V, -40 to 125 degC, 6-pin SOT23 (DBV6), Green (RoHS & no Sb/Br)" 
U1         AD8338ACPZ-R7             BottomLayer FP-CP-16-22-IPC_C               -8.3031      5.7500       180      "IC OPAMP VGA 1 CIRCUIT 16LFCSP"                                                                                                                            
R44        CRCW040210K0JNED          BottomLayer FP-CRCW0402-e3-IPC_B            -3.9750      -4.6750      0        CRCW040210K0JNED                                                                                                                                            
R43        CRCW040210K0JNED          BottomLayer FP-CRCW0402-e3-IPC_B            -4.0250      -5.5500      0        CRCW040210K0JNED                                                                                                                                            
R41        ERJ-2RKF4122X             BottomLayer ERJ2RKD1004X                    -5.7500      -4.1500      0        ERJ-2RKF4122X                                                                                                                                               
R38        RC0402JR-0722RL           TopLayer    RESC1005X40X25NL05T10           -17.5500     3.2000       270      ""                                                                                                                                                          
R37        CRCW040247K0FKED          BottomLayer FP-CRCW0402-e3-IPC_C            -23.2750     5.1500       0        "RES Thick Film, 47kO, 1%, 0.063W, 100ppm/°C, 0402"                                                                                                         
R35        RC0402JR-0722RL           TopLayer    RESC1005X40X25NL05T10           -24.8250     5.3250       0        ""                                                                                                                                                          
R34        CRCW0402402RFKEDC         TopLayer    FP-CRCW0402-C-e3-MFG            -28.6000     -3.5500      90       CRCW0402402RFKEDC                                                                                                                                           
R33        RC0402JR-0722RL           TopLayer    FP-CRCW0402-C-e3-MFG            -20.5750     -5.9500      180      RC0402JR-0722RL                                                                                                                                             
R29        RC1005F394CS              BottomLayer FP-RC1005-MFG                   -1.7000      1.2000       0        RC1005F394CS                                                                                                                                                
R28        ERJ-2RKF1003X             BottomLayer FP-ERJ2RK-IPC_C                 -1.5500      8.1500       0        ERJ-2RKF1003X                                                                                                                                               
R26        RC1005F394CS              TopLayer    FP-RC1005-MFG                   -4.8000      -8.8500      270      RC1005F394CS                                                                                                                                                
R27        ERJ-2RKF1003X             BottomLayer FP-ERJ2RK-IPC_C                 0.2000       -0.5000      0        ERJ-2RKF1003X                                                                                                                                               
R23        ERJ-PA3J302V              BottomLayer ERJP03_PA3_(0603)               -1.7500      -7.0500      0        Resistor                                                                                                                                                    
R24        ERJ-PA3J302V              BottomLayer ERJP03_PA3_(0603)               3.6500       -4.7500      270      ERJ-PA3J302V                                                                                                                                                
R22        CRCW040210K0JNED          BottomLayer FP-CRCW0402-e3-IPC_B            -12.9500     3.2250       180      CRCW040210K0JNED                                                                                                                                            
